recipe_id,ethnicity,Recipe Name,instructions,ingredients,image,descriptor,category
1,Vietnamese,Banh-Mi Style Vietnamese Baguette,"Preheat the oven to degreeF . Place the mushroomon a baking. Drizzle with a little olive oil, season with salt, pepper. Roast in the preheated oven for about minutes. Cool slightly, then into strips.,While the mushroomare roasting, bring a saucepan of water to a boil. Plunge the carrot, radish stickinto the boiling water, after a few seconds, remove them, plunge them into a bowl of ice water to stop the cooking. In a separate bowl, stir together the rice vinegar, of lime juice, cold water. Transfer the carrot, radish to the vinegar, lime marinade, let them soak for at least minutes, longer if it'convenient. In a small bowl, stir together the remaining lime juice, soy sauce, fish sauce, sesame oil, canola oil, sugar, water. Thiithe sandwich sauce. To assemble sandwiches, sprinkle a little of the sandwich sauce onto each half of the French loaves. Place the roasted mushroomonto the bottom half of each roll, sprinkle with a little more sauce. Top with a fewof jalapeno, a few stickof carrot, radish , cucumber, basil, cilantro. Close with the topof the bread, serve."," portobello mushroom cap, olive oil, salt, pepper, carrot, daikon radish, rice vinegar, fresh lime juice, cold water, chilled lime juice, soy sauce, nuoc mam , toasted sesame oil, canola oil, garlic, white sugar, cold water, jalapeno pepper, spring fresh cilantro with stems, medium cucumber, sprigfresh Thai basil, French bread baguettes",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF9.jpg&q=&c=sc&orient=true,"These are by far the best sandwicheto serve your guestand yourself! The ingredientare fresh, delicious, popular, fillyour mouth with marinated joy. You usually find the high-caloric sandwich in your local Vietnamese baguette shop but here ia hearty Vegetarian version using portabello mushrooms.",Cuisine
2,Vietnamese,Thit Kho ,"Slice pork belly into -inch piecelayered fat, meat. Heat sugar in a large wok or pot over medium heat until it meltand caramelizeinto a light brown syrup, about minutes. Add pork, increase the heat to high. Cook, stir to render some of the pork fat, to minutes. Stir shallotand garlic into the wok. Add fish sauce, black pepper; stir until pork ievenly coated. Pour in coconut water, bring to a boil. Add hard-boiled eggand reduce the heat to low. Cover, simmer, checking occasionally, adding a little water if the liquid evaporatetoo much, until pork itender, about hour. Remove from the heat, let stand for about minutes. Skim fat from the surface of the dish."," pork belly white sugar, shallot, clove garlic, fish sauce, ground black pepper, fluid coconut water, hard-boiled eggs, peeled",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF9.jpg&q=&c=sc&orient=true,"Thit kho tau ia very popular dish in Vietnamese householdfor everyday eating, but it'also traditionally served during Tết, the Vietnamese Lunar New Year. The longer you cook the pork belly, the more tender it becomes. If you make thidish ahead of time, the fat will congeal on the surface, making it easier to remove, a little healthier! Thialso allowthe flavorto meld a little more. Serve with rice.",Cuisine
3,Vietnamese,Vietnamese Spring RollWith Dipping Sauce,"Whisk vinegar, fish sauce, sugar, lime juice, garlic, red pepper flaketogether in a small bowl. Set the dipping sauce aside. Fill a large bowl with room temperature water. Add rice vermicelli, soak for hour. Bring a large pot of water to a boil. Drop in shrimp, cook until curled, pink, about minute. Remove the shrimp, drain. each shrimp in half lengthwise. Transfer rice vermicelli noodleto the pot of boiling water, cook for minute. Remove, drain in a colander. Immediately rinse the vermicelli with cold water, stirring to separate the noodles. To assemble the rolls, dip rice wrapper in a large bowl of room temperature water for a few secondto soften. Place wrapper on a work surface, top with shrimp halves, of the chopped lettuce, vermicelli, each of the mint, cilantro, Thai basil. Fold right, left edgeof the wrapper over the endof the filling, roll up the spring roll. Repeat with remaining wrapperand ingredients. Cut each roll in half, serve with dipping sauce."," white vinegar, fish sauce, white sugar, lime juice, clove garlic, red pepper flakes, rice vermicelli, large shrimp, deveined, rice wrapper, lettuce, fresh mint leaves, cilantro, Thai basil",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets-ucg.meredithcorp.ioF9edb9caebcfF9.jpg&q=&c=sc&orient=true,"These Vietnamese spring rollare the perfect recipe for beating the heat. Poached shrimp, rice noodles, herbs, lettuce are rolled into a thin rice wrapper. Serve with the sweet, sour dipping sauce.",Appetizerand Snacks
4,Vietnamese,Vegetarian Pho ,"Place vegetable stock, onion, soy sauce, garlic, cinnamon sticks, ground ginger, star anise, bay leavein a large pot; bring to a boil. Reduce heat, cover, simmer until flavorcombine, to minutes. Remove solidwith a slotted spoon, keep broth hot. Place noodlein a large bowl, cover with boiling water. Set aside until noodleare to minutes. Drain, rinse thoroughly. Divide noodleamong serving bowls. Heat oil in a large skillet over medium-high heat until shimmering. Add tofu in a single layer, fry, in batches, until golden brown, about minuteper side. Simmer fried tofu, mushroomin broth until heated through, about minutes. Transfer to serving bowls. Top with scallionand cilantro. Ladle in hot broth. Serve lime wedges, jalapeno peppers, bean sprouts, basil alongside for garnishing each bowl. The directionfor preparing the rice noodleare based on the particular brand mentioned. Follow instructionon the if using a different brand."," vegetable stock, onion, soy sauce, clove garlic, cinnamon sticks, ground ginger, podstar anise, bay leaves",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets.meredithcorp.ioFcbcdbef9dafecfF99C9FA--DA-99C-DADEDA.jpeg&q=&c=sc&orient=true,A vegetarian version of thitasty Vietnamese noodle soup.,"Soups, Stewand Chili Recipes"
5,Vietnamese,Spicy Vietnamese Quick-Pickled Vegetables,"Inspect two pint-sized jarfor cracks, discarding any defective ones. Immerse in simmering water until needed. Wash new, unused lidand ringin warm soapy water. Bring water, vinegar, sugar, salt to a boil in a medium saucepan over medium heat. Cook until sugar dissolves, about minutes. Turn off the heat, let cool for minutes. Meanwhile, divide carrots, radish, cucumbers, jalapeñoevenly between the two clean jars. Pour hot liquid over vegetablein the jarand let come to room temperature, about minutes. Screw on lidand refrigerate for at least hour before serving. The longer you let the vegetablepickle, the better they get. They also get spicier, so only use one jalapeño if you're sensitive to heat. Nutrition data for thirecipe includethe full amount of brine ingredients. The actual amount consumed will vary."," water, rice vinegar, white sugar, salt, carrots, purple daikon radish, English cucumbers, medium jalapeno pepper",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets.meredithcorp.ioFfdc9a9b9aedcbfbd9bF9_.jpg&q=&c=sc&orient=true,"These Vietnamese-style pickled vegetableare traditionally served aa condiment for banh mi sandwiches, but they make a nice side for anything you'd normally pair with coleslaw, like fish, chips, barbecued meats, fish tacos, etc. Store in the refrigerator for up to one month.",Side Dish
6,Vietnamese,Vietnamese Iced Coffee,"Gather all ingredients. Brew water with coffee using your preferred method to make coffee. Spoon sweetened condensed milk into each of coffee s. Pour fresh hot coffee into each, stir to dissolve the milk. Serve of coffee along with tall glassefilled with ice cubeeach, a long-handled spoon. Pour hot coffee over ice cubeand stir briskly with the long-handled spoon to chill the coffee."," water, dark roast ground coffee beans, sweetened condensed milk, ice cubes",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF9.jpg&q=&c=sc&orient=true,"A strong Vietnamese iced coffee recipe with sweetened condensed milk. Chilled on ice, thimakean unbeatable Southeast Asian treat. Even those who only take their coffee black will like this. Serve it on hot summer dayor aan evening treat. We learned thiin Vietnam, now drink almost all our espresso thiway.",Cuisine
7,Vietnamese,Bánh Xèo ,"Make the crêpe batter: Mix rice flour, sugar, salt, turmeric together in a large bowl. Beat in coconut milk until thick. Slowly beat in water until it reachethe consistency of a thin crêpe batter. Make the filling: Heat oil in a large skillet over medium-high heat. Add shallot, garlic; cook, stir until fragrant but not browned, to minutes. Add shrimp; sauté until cooked through, opaque, to minutes. Season with fish sauce, salt. Transfer filling to a bowl. Preheat the oven to degreeF . Wipe out the skillet, reheat over medium heat. Add remaining oil. Stir crêpe batter, pour into the hot skillet, swirling to coat the bottom. Lay or cooked shrimp on the bottom half of the crêpe. Top with a small handful of bean sprouts. Cook until batter lookset, edgestart to brown, about minute. Fold crêpe over, slide onto an oven-safe plate. Place crêpe in the preheated oven to keep warm. Repeat with remaining batter, shrimp, bean sprouts,Serve crêpewith lettuce leaves. Break off pieceof crêpe, roll them up in lettuce to eat. You add to chopped scallionto crêpe batter if desired. Substitute scallionfor the shallotin the filling if preferred. You also add sauteed mushroomto the filling if you like. Pork bánh xèo: Substitute half of the shrimp with pork loin or pork belly cut in thin strips. Sauté shallotand garlic first, add pork, cook until no longer pink, then add shrimp. Vegetarian bánh xèo: Substitute shredded, fried tofu for the shrimp to make a vegetarian version. Add a variety of mushroomto give it a meaty flavor. Use soy sauce instead of fish sauce. Bánh xèo with eggs: Beat to eggand pour a little over each crêpe after you add the batter to the skillet, but before you add the fillings. Cover the pan for about a minute to let the egg set, then continue with the filling ingredients. The magazine version of thirecipe may be slightly different than the online version. Please follow directioncarefully for whichever version you are using."," rice flour, white sugar, salt, ground turmeric, coconut milk, water",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF9.jpg&q=&c=sc&orient=true,"Bánh xèo ia popular street snack in Vietnam. The name mean""sizzling pancakeor crêpes"", referto the sound the batter makewhen it hitthe hot skillet. Serve these shrimp-studded crêpewith lettuce, fresh mint, basil, nuoc cham dipping sauce.","Breakfast, Brunch"
8,Vietnamese,Beef Pho,"ThiSouth Vietnamese-style pho bringcomfort with every sip, slurp. It'a restorative, richly seasoned broth ladled over rice noodleand thinlyd beef, served with a host of crisp, tangy, spicy, sweet, fragrant garnishes. The version you see here habeen adapted slightly from LETT'original with insightfrom Allrecipefriend, Vietnamese cookbook author Andrea Nguyen, tested in our Allrecipetest kitchens. We specified the amount of ginger, charred the onion, ginger before adding them to the broth. ""That partially cookthose aromaticand kind of mellowthingout,"" sayNguyen. ""It'the backbone of the broth."",Thiversion also callfor beef soup bonerather than beef knuckle, which be harder to find, iserved with the more traditional hoisin sauce rather than the plum sauce mentioned in the original. Make broth: Place beef bonein a 9-quart pot; season with salt. Pour water into the pot, bring to a boil. Reduce heat, simmer broth for about hours. Meanwhile, set an oven rack about inchefrom the heat source, preheat the oven'broiler. Line a x-inch roasting pan with aluminum foil. Place onionand unpeeled ginger onto the prepared roasting pan, cook under the preheated broiler, stirring occasionally, until vegetableare charred, to minutes. Cool slightly. Chop onions, then peel, ginger; set aside separately. Skim fat from surface of simmering broth. Add oxtail, radish, charred onionto broth. Tie charred ginger, anise, cinnamon stick, peppercorns, clovein cheesecloth to make a bouquet garni; add to broth. Stir in sugar, fish sauce, remaining salt. Simmer over medium-low heat for at least hour. Season with salt. Strain broth. Discard boneand bouquet garni. Reserve meat from bonefor another use. Chill broth in the refrigerathourto overnight. Skim, discard fat from the top of chilled broth. Pour broth into a pot; bring to a boil. Reduce heat, keep hot until ready to serve. Bring a pot of water to a boil. Turn off heat. Stir in rice noodleand let sit until noodleare tender yet chewy, to minutes. Meanwhile, cut frozen sirloin into paper-thins. Drain, divide noodleamong bowls, about per serving. Top each with a few sirloins. Ladle hot broth over sirloin, noodles. Thiipart of a special feature in our February-March magazine issue. Check it out for more recipes!"," beef soup bones, salt, gallonwater, medium onions, quartered, piece fresh ginger root, beef oxtail, white radish, whole star anise pods, cinnamon stick, black peppercorns, whole cloves, white sugar, fish sauce, salt",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF9.jpg&q=&c=sc&orient=true,"Thibeef pho featurea comforting, richly-seasoned meat broth ladled over rice noodleand thinlyd sirloin. Serve with hoisin, Sriracha, green onion, cilantro, bean sprouts, basil, lime.",Asian
9,Vietnamese,Thai Chicken Spring Rolls,"Combine peanut sauce, ginger, garlic, soy sauce in a bowl. Add chicken, mix until coated. Cover, refrigerate for minutes. Heat peanut oil in a wok over medium heat. Add bean sprouts, snow peas, green onionand cook until heated but still crisp, to minutes. Remove from the heat. Transfer bean sprout mixture to a large bowl; mix in watercresand cilantro. Use a vegetable peeler to peel long stripcarrot into the bowl. Add remaining soy sauce, tosto coat. Heat remaining peanut oil in the wok over medium heat. Add marinated chicken; cook, stir until no longer pink in the center, the juicerun clear, about minutes. Fill a large bowl with hot water. Submerge one wrapper in the bowl, hold until soft, pliable, about seconds. Lift wrapper, let excesliquid drip off, place onto a work surface. Place two large spoonfulchicken, a small handful vegetable mixture into the center of the wrapper. Fold in the two sides, then fold the bottom up, over the filling; roll to seal. Repeat to make remaining spring rolls. Serve with remaining peanut sauce for dipping."," peanut sauce, fresh ginger root, clove garlic, soy sauce, boneless chicken breast, peanut oil, bean sprouts, fresh snow pea pods, green onions, watercress, cilantro, large carrots, spring roll wrappers",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF.jpg&q=&c=sc&orient=true,"These chicken spring rollwith a Thai-style peanut sauce are filled with marinated chicken breast, crisp vegetables, which make a beautiful presentation through the translucent spring roll wrappers. Serve aan appetizer or light entrée.",Appetizerand Snacks
10,Vietnamese,Roasted Pork Bánh Mì ,"Gather all ingredients. Preheat the oven to degreeF . Line a baking with aluminum foil. Tosradish, carrot with seasoned rice vinegar in a bowl until well coated. Let sit until veggiebecome slightly limp, to minutes. Drain, set aside or refrigerate. Mix mayonnaise, hoisin sauce, sriracha in a small bowl. Split French roll just enough so you open it like a book. Pull out some of the bread from the top half to better accommodate the filling if desired. Spread the interior surfaceof roll liberally with mayonnaise mixture. Transfer roll, cut-side up, to the prepared baking. Bake in the preheated oven until warm, crisp with slightly browned edges, about minutes. Placed pork, paté, pickled radish, carrot, cucumber, jalapeño, cilantro leavein warm roll. Cut in half to serve. For the pickled carrotand daikon, add a of salt, pepper if using regular vinegar instead of seasoned rice vinegar. Try thiPan-Roasted -Spice Pork Loin recipe, use leftoverin your bánh mì sandwiches."," daikon radish, carrots, seasoned rice vinegar, mayonnaise, hoisin sauce, sriracha hot sauce, crusty French sandwich roll, cooked pork roast, english cucumber, jalapeno pepper, cilantro leaves",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets.meredithcorp.ioFceee9acc9bbac9c9F99IMG_9.jpeg&q=&c=sc&orient=true,"Bánh mì sandwicheare delicious. I'll never forget my first real bánh mì. I remember thinking to myself, thiisn't just one of the best sandwicheI've ever had to eat, but one of the best things, period. Not only do we get amazing contrastin flavor, texture, but also the temperature difference between the crisp, warm, meat-filled roll, cool, crunchy vegetablemakethiso much fun to eat.",Cuisine
