ethnicity,Recipe Name,instructions,ingredients,image,descriptor,category
Vietnamese,Banh-Mi Style Vietnamese Baguette,"Preheat the oven to 450 degrees F (230 degrees C). Place the mushrooms on a baking sheet. Drizzle with a little olive oil and season with salt and pepper. Roast in the preheated oven for about 25 minutes. Cool slightly, then slice into strips. ,While the mushrooms are roasting, bring a saucepan of water to a boil. Plunge the carrot and radish sticks into the boiling water and after a few seconds, remove them and plunge them into a bowl of ice water to stop the cooking. In a separate bowl, stir together the rice vinegar, 1/2 cup of lime juice and 1/2 cup cold water. Transfer the carrot and radish to the vinegar and lime marinade and let them soak for at least 15 minutes, longer if it's convenient. In a small bowl, stir together the remaining lime juice, soy sauce, fish sauce, sesame oil, canola oil, 1/3 cup sugar and 1/3 cup water. This is the sandwich sauce. To assemble sandwiches, sprinkle a little of the sandwich sauce onto each half of the French loaves. Place the roasted mushrooms onto the bottom half of each roll and sprinkle with a little more sauce. Top with a few slices of jalapeno, a few sticks of carrot and radish (minus the marinade), cucumber, basil and cilantro. Close with the tops of the bread and serve.","2  portobello mushroom caps, sliced, 2 teaspoons olive oil,   salt and pepper to taste, 1  carrot, sliced into sticks, 1  daikon (white) radish, sliced into sticks, 1 cup rice vinegar, ½ cup fresh lime juice, ½ cup cold water, ½ cup chilled lime juice, 2 teaspoons soy sauce, 1 teaspoon nuoc mam (Vietnamese fish sauce), ½ teaspoon toasted sesame oil, 2 tablespoons canola oil, 2 teaspoons minced garlic, ⅓ cup white sugar, ⅓ cup cold water, 1  jalapeno pepper, thinly sliced, 8 sprigs fresh cilantro with stems, 1 medium cucumber, sliced into thin strips, 2 sprigs fresh Thai basil, 2 (7 inch) French bread baguettes, split lengthwise",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7695678.jpg&q=60&c=sc&orient=true,"These are by far the best sandwiches to serve your guests and yourself! The ingredients are fresh, delicious, popular and fills your mouth with marinated joy. You can usually find the high-caloric sandwich (variety of meat on mayonnaise) in your local Vietnamese baguette shop but here is a hearty Vegetarian version (if you do not use fish sauce) using portabello mushrooms.",Cuisine
Vietnamese,Thit Kho (Caramelized Pork Belly),"Slice pork belly into 1-inch pieces layered with skin, fat, and meat. Heat sugar in a large wok or pot over medium heat until it melts and caramelizes into a light brown syrup, about 5 minutes. Add pork and increase the heat to high. Cook and stir to render some of the pork fat, 3 to 5 minutes. Stir shallots and garlic into the wok. Add fish sauce and black pepper; stir until pork is evenly coated. Pour in coconut water and bring to a boil. Add hard-boiled eggs and reduce the heat to low. Cover and simmer, checking occasionally and adding a little water if the liquid evaporates too much, until pork is tender, about 1 hour. Remove from the heat and let stand for about 10 minutes. Skim fat from the surface of the dish.","2 pounds pork belly, trimmed, 2 tablespoons white sugar, 5  shallots, sliced, 3 cloves garlic, chopped, 3 tablespoons fish sauce,   ground black pepper to taste, 13 fluid ounces coconut water, 6  hard-boiled eggs, peeled",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8120794.jpg&q=60&c=sc&orient=true,"Thit kho tau (or thit kho for short) is a very popular dish in Vietnamese households for everyday eating, but it's also traditionally served during Tết, the Vietnamese Lunar New Year. The longer you cook the pork belly, the more tender it becomes. If you make this dish ahead of time, the fat will congeal on the surface, making it easier to remove and a little healthier! This also allows the flavors to meld a little more. Serve with rice.",Cuisine
Vietnamese,Vietnamese Spring Rolls With Dipping Sauce,"Whisk vinegar, fish sauce, sugar, lime juice, garlic, and red pepper flakes together in a small bowl. Set the dipping sauce aside. Fill a large bowl with room temperature water. Add rice vermicelli and soak for 1 hour. Bring a large pot of water to a boil. Drop in shrimp and cook until curled and pink, about 1 minute. Remove the shrimp and drain. Slice each shrimp in half lengthwise. Transfer rice vermicelli noodles to the pot of boiling water and cook for 1 minute. Remove and drain in a colander. Immediately rinse the vermicelli with cold water, stirring to separate the noodles. To assemble the rolls, dip 1 rice wrapper in a large bowl of room temperature water for a few seconds to soften. Place wrapper on a work surface and top with 4 shrimp halves, 1/4 of the chopped lettuce, 1/2 ounce vermicelli, and 1/4 each of the mint, cilantro, and Thai basil. Fold right and left edges of the wrapper over the ends of the filling and roll up the spring roll. Repeat with remaining wrappers and ingredients. Cut each roll in half and serve with dipping sauce.","¼ cup white vinegar, ¼ cup fish sauce, 2 tablespoons white sugar, 2 tablespoons lime juice, 1 clove garlic, minced, ¼ teaspoon red pepper flakes, 2 ounces rice vermicelli, 8  large shrimp, peeled and deveined, 4  rice wrappers (8.5 inch diameter), 2 leaves lettuce, chopped, 3 tablespoons finely chopped fresh mint leaves, 3 tablespoons finely chopped cilantro, 4 teaspoons finely chopped Thai basil",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F9306ed6578103b9c6a51eb0c5641f775%2F5261973.jpg&q=60&c=sc&orient=true,"These Vietnamese spring rolls are the perfect recipe for beating the heat. Poached shrimp, rice noodles, herbs, and lettuce are rolled into a thin rice wrapper. Serve with the sweet and sour dipping sauce.",Appetizers and Snacks
Vietnamese,Vegetarian Pho (Vietnamese Noodle Soup),"Place vegetable stock, onion, soy sauce, garlic, cinnamon sticks, ground ginger, star anise, and bay leaves in a large pot; bring to a boil. Reduce heat, cover, and simmer until flavors combine, 30 to 45 minutes. Remove solids with a slotted spoon and keep broth hot. Place noodles in a large bowl and cover with boiling water. Set aside until noodles are softened, 8 to 10 minutes. Drain and rinse thoroughly. Divide noodles among 6 serving bowls. Heat oil in a large skillet over medium-high heat until shimmering. Add tofu in a single layer and fry, in batches, until golden brown, about 6 minutes per side. Simmer fried tofu and mushrooms in broth until heated through, about 5 minutes. Transfer to serving bowls. Top with scallions and cilantro. Ladle in hot broth. Serve lime wedges, jalapeno peppers, bean sprouts, and basil alongside for garnishing each bowl. The directions for preparing the rice noodles are based on the particular brand mentioned. Follow instructions on the package if using a different brand.","10 cups vegetable stock, 1  onion, peeled and halved, ¼ cup soy sauce, 8 cloves garlic, coarsely chopped, 2 (3 inch) cinnamon sticks, 2 teaspoons ground ginger, 2 pods star anise, 2  bay leaves",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F025c0b2cdb8ef8798701d6a16fecf623%2F16860992514544504C9FA-2570-42DA-997C-D270AD2EDA57.jpeg&q=60&c=sc&orient=true,A vegetarian version of this tasty Vietnamese noodle soup.,"Soups, Stews and Chili Recipes"
Vietnamese,Spicy Vietnamese Quick-Pickled Vegetables,"Inspect two pint-sized jars for cracks, discarding any defective ones. Immerse in simmering water until needed. Wash new, unused lids and rings in warm soapy water. Bring water, vinegar, sugar, and salt to a boil in a medium saucepan over medium heat. Cook until sugar dissolves, about 3 minutes. Turn off the heat and let cool for 2 minutes. Meanwhile, divide carrots, radish, cucumbers, and jalapeños evenly between the two clean jars. Pour hot liquid over vegetables in the jars and let come to room temperature, about 30 minutes. Screw on lids and refrigerate for at least 1 hour before serving. The longer you let the vegetables pickle, the better they get. They also get spicier, so only use one jalapeño if you're sensitive to heat. Nutrition data for this recipe includes the full amount of brine ingredients. The actual amount consumed will vary.","2 cups water, 1 ½ cups rice vinegar, 2 tablespoons white sugar, 2 teaspoons salt, ½ pound carrots, peeled and cut into matchsticks, ½ pound purple daikon radish, peeled and cut into matchsticks, ½ pound English cucumbers, thinly sliced, 2 medium jalapeno peppers, sliced into rings",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Ff13dc09a9b898ae5dc7501b6fb8d96b0%2F167341294683320230110_225313.jpg&q=60&c=sc&orient=true,"These Vietnamese-style pickled vegetables are traditionally served as a condiment for banh mi sandwiches, but they make a nice side for anything you'd normally pair with coleslaw, like fish and chips, barbecued meats, fish tacos, etc. Store in the refrigerator for up to one month.",Side Dish
Vietnamese,Vietnamese Iced Coffee,Gather all ingredients. Brew water with coffee using your preferred method to make coffee. Spoon 2 tablespoons sweetened condensed milk into each of 4 coffee cups. Pour 1 cup fresh hot coffee into each cup and stir to dissolve the milk. Serve cups of coffee along with 4 tall glasses filled with 4 ice cubes each and a long-handled spoon. Pour hot coffee over ice cubes and stir briskly with the long-handled spoon to chill the coffee.,"4 cups water, ½ cup dark roast ground coffee beans, ½ cup sweetened condensed milk, divided, 16  ice cubes",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5198402.jpg&q=60&c=sc&orient=true,"A strong Vietnamese iced coffee recipe with sweetened condensed milk. Chilled on ice, this makes an unbeatable Southeast Asian treat. Even those who only take their coffee black will like this. Serve it on hot summer days or as an evening treat. We learned this in Vietnam, and now drink almost all our espresso this way.",Cuisine
Vietnamese,Bánh Xèo (Vietnamese Crêpes),"Make the crêpe batter: Mix rice flour, sugar, salt, and turmeric together in a large bowl. Beat in coconut milk until thick. Slowly beat in water until it reaches the consistency of a thin crêpe batter. Make the filling: Heat 1 1/2 tablespoon oil in a large skillet over medium-high heat. Add shallot and garlic; cook and stir until fragrant but not browned, 1 to 2 minutes. Add shrimp; sauté until cooked through and opaque, 3 to 4 minutes. Season with fish sauce and salt. Transfer filling to a bowl. Preheat the oven to 200 degrees F (95 degrees C). Wipe out the skillet and reheat over medium heat. Add remaining 1/2 tablespoon oil. Stir crêpe batter and pour 1/2 cup into the hot skillet, swirling to coat the bottom. Lay 3 or 4 cooked shrimp on the bottom half of the crêpe. Top with a small handful of bean sprouts. Cook until batter looks set and edges start to brown, about 1 minute. Fold crêpe over and slide onto an oven-safe plate. Place crêpe in the preheated oven to keep warm. Repeat with remaining batter, shrimp, and bean sprouts,Serve crêpes with lettuce leaves. Break off pieces of crêpe and roll them up in lettuce to eat. You can add 1 to 2 chopped scallions to crêpe batter if desired. Substitute scallions for the shallots in the filling if preferred. You can also add sauteed mushrooms to the filling if you like. Pork bánh xèo: Substitute half of the shrimp with pork loin or pork belly cut in thin strips. Sauté shallots and garlic first, add pork and cook until no longer pink, then add shrimp. Vegetarian bánh xèo: Substitute shredded, fried tofu for the shrimp to make a vegetarian version. Add a variety of mushrooms to give it a meaty flavor. Use soy sauce instead of fish sauce. Bánh xèo with eggs: Beat 4 to 5 eggs and pour a little over each crêpe after you add the batter to the skillet, but before you add the fillings. Cover the pan for about a minute to let the egg set, then continue with the filling ingredients. The magazine version of this recipe may be slightly different than the online version. Please follow directions carefully for whichever version you are using.","1 cup rice flour, ½ teaspoon white sugar, ½ teaspoon salt, ¼ teaspoon ground turmeric, 1 cup coconut milk, ½ cup water",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8917161.jpg&q=60&c=sc&orient=true,"Bánh xèo (bahn SAY-oh) is a popular street snack in Vietnam. The name means ""sizzling pancakes or crêpes"" and refers to the sound the batter makes when it hits the hot skillet. Serve these shrimp-studded crêpes with lettuce, fresh mint and basil, and nuoc cham dipping sauce.",Breakfast and Brunch
Vietnamese,Beef Pho,"This South Vietnamese-style pho brings comfort with every sip and slurp. It's a restorative, richly seasoned broth ladled over rice noodles and thinly sliced beef and served with a host of crisp, tangy, spicy, sweet, and fragrant garnishes. The version you see here has been adapted slightly from LETT101's original with insights from Allrecipes friend and Vietnamese cookbook author Andrea Nguyen and tested in our Allrecipes test kitchens. We specified the amount of ginger and charred the onion and ginger before adding them to the broth. ""That partially cooks those aromatics and kind of mellows things out,"" says Nguyen. ""It's the backbone of the broth."",This version also calls for beef soup bones rather than beef knuckle, which can be harder to find, and is served with the more traditional hoisin sauce rather than the plum sauce mentioned in the original. Make broth: Place beef bones in a 9-quart (or larger) pot; season with 1 teaspoon salt. Pour water into the pot and bring to a boil. Reduce heat and simmer broth for about 2 hours. Meanwhile, set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a 10x15-inch roasting pan with aluminum foil. Place onions and unpeeled ginger onto the prepared roasting pan and cook under the preheated broiler, stirring occasionally, until vegetables are charred, 10 to 15 minutes. Cool slightly. Chop onions, then peel and slice ginger; set aside separately. Skim fat from surface of simmering broth. Add oxtail, radish, and charred onions to broth. Tie charred ginger, anise, cinnamon stick, peppercorns, and cloves in cheesecloth to make a bouquet garni; add to broth. Stir in sugar, fish sauce, and remaining 2 teaspoons salt. Simmer over medium-low heat for at least 4 hours (the longer, the better). Season with salt. Strain broth. Discard bones and bouquet garni. Reserve meat from bones for another use. Chill broth in the refrigerator, 8 hours to overnight. Skim and discard fat from the top of chilled broth. Pour broth into a pot; bring to a boil. Reduce heat and keep hot until ready to serve. Bring a pot of water to a boil. Turn off heat. Stir in rice noodles and let sit until noodles are tender yet chewy, 6 to 10 minutes. Meanwhile, cut frozen sirloin into paper-thin slices. Drain and divide noodles among bowls, about 1 1/2 cups per serving. Top each with a few sirloin slices. Ladle hot broth over sirloin and noodles. This is part of a special feature in our February-March 2022 magazine issue. Check it out for more recipes!","5 pounds beef soup bones, 1 tablespoon salt, divided, 2 gallons water, 2 medium onions, quartered, 1 (4 inch) piece fresh ginger root, 2 pounds beef oxtail, 1  white (daikon) radish, sliced, 2 ounces whole star anise pods, ½ (3 inch) cinnamon stick, 1 teaspoon black peppercorns, 2  whole cloves, 1 tablespoon white sugar, 1 tablespoon fish sauce,   salt to taste",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9302808.jpg&q=60&c=sc&orient=true,"This beef pho features a comforting, richly-seasoned meat broth ladled over rice noodles and thinly sliced sirloin. Serve with hoisin, Sriracha, green onion, cilantro, bean sprouts, basil, and lime.",Asian
Vietnamese,Thai Chicken Spring Rolls,"Combine 1 cup peanut sauce, ginger, garlic, and 1 teaspoon soy sauce in a bowl. Add chicken and mix until coated. Cover and refrigerate for 30 minutes. Heat 1 teaspoon peanut oil in a wok over medium heat. Add bean sprouts, snow peas, and green onions and cook until heated but still crisp, 3 to 4 minutes. Remove from the heat. Transfer bean sprout mixture to a large bowl; mix in watercress and cilantro. Use a vegetable peeler to peel long strips carrot into the bowl. Add remaining 1 teaspoon soy sauce and toss to coat. Heat remaining 1 teaspoon peanut oil in the wok over medium heat. Add marinated chicken; cook and stir until no longer pink in the center and the juices run clear, about 10 minutes. Fill a large bowl with hot water. Submerge one wrapper in the bowl and hold until soft and pliable, about 2 seconds. Lift wrapper, let excess liquid drip off, and place onto a work surface. Place two large spoonfuls chicken and a small handful vegetable mixture into the center of the wrapper. Fold in the two sides, then fold the bottom up and over the filling; roll to seal. Repeat to make remaining spring rolls. Serve with remaining 1/2 cup peanut sauce for dipping.","1 ½ cups peanut sauce, divided, 1 (1 1/2 inch) piece fresh ginger root, minced, 2 cloves garlic, minced, 2 teaspoons soy sauce, divided, 1 pound skinless, boneless chicken breast halves - cut into 1 inch pieces, 2 teaspoons peanut oil, divided, 12 ounces bean sprouts, 6 ounces fresh snow pea pods, 4  green onions, chopped, 1 pound watercress, chopped, ¼ cup chopped fresh cilantro, 2 large carrots, peeled, 12  spring roll wrappers",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8041376.jpg&q=60&c=sc&orient=true,"These chicken spring rolls with a Thai-style peanut sauce are filled with marinated chicken breast and crisp vegetables, which make a beautiful presentation through the translucent spring roll wrappers. Serve as an appetizer or light entrée.",Appetizers and Snacks
Vietnamese,Roasted Pork Bánh Mì (Vietnamese Sandwich),"Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil. Toss radish and carrot with seasoned rice vinegar in a bowl until well coated. Let sit until veggies become slightly limp, 15 to 20 minutes. Drain and set aside or refrigerate. Mix mayonnaise, hoisin sauce, and sriracha in a small bowl. Split French roll just enough so you can open it like a book. Pull out some of the bread from the top half to better accommodate the filling if desired. Spread the interior surfaces of roll liberally with mayonnaise mixture. Transfer roll, cut-side up, to the prepared baking sheet. Bake in the preheated oven until warm and crisp with slightly browned edges, about 7 minutes. Place sliced pork, paté, pickled radish and carrot, cucumber, jalapeño, and cilantro leaves in warm roll. Cut in half to serve. For the pickled carrots and daikon, add a pinch of salt and pepper if using regular vinegar instead of seasoned rice vinegar. Try this Pan-Roasted 5-Spice Pork Loin recipe and use leftovers in your bánh mì sandwiches.","¼ cup julienned (2-inch matchsticks) daikon radish, ¼ cup julienned (2-inch matchsticks) carrots, 1 tablespoon seasoned rice vinegar, ¼ cup mayonnaise, 1 teaspoon hoisin sauce, or to taste, 1 teaspoon sriracha hot sauce, or more to taste, 1  crusty French sandwich roll, 4 ounces cooked pork roast, thinly sliced, 2 ounces smooth pate, thinly sliced, 6 thin spears English cucumber, diced, 6 thin slices  jalapeno pepper, or more to taste, ¼ cup cilantro leaves",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fc3ee2e8925ac8c59b1ba437c6719c931%2F1689210967257IMG_9050.jpeg&q=60&c=sc&orient=true,"Bánh mì sandwiches are delicious. I'll never forget my first real bánh mì. I remember thinking to myself, this isn't just one of the best sandwiches I've ever had to eat, but one of the best things, period. Not only do we get amazing contrasts in flavor and texture, but also the temperature difference between the crisp, warm, meat-filled roll, and cool, crunchy vegetables makes this so much fun to eat.",Cuisine
